Дата, время;Ручей 7: Уровень металла в кристаллизаторе, мм;Ручей 8: Уровень металла в кристаллизаторе, мм
01.02.2022 15:50;824;827
01.02.2022 15:50;824;827
01.02.2022 15:50;824;827
01.02.2022 15:50;825;827
01.02.2022 15:50;825;827
01.02.2022 15:50;825;826
01.02.2022 15:50;825;824
01.02.2022 15:50;825;823
01.02.2022 15:50;825;823
01.02.2022 15:50;825;823
01.02.2022 15:50;825;823
01.02.2022 15:50;825;823
01.02.2022 15:50;825;824
01.02.2022 15:50;825;824
01.02.2022 15:50;825;824
01.02.2022 15:50;825;824
01.02.2022 15:50;825;824
01.02.2022 15:50;825;824
01.02.2022 15:50;824;824
01.02.2022 15:50;824;824
01.02.2022 15:50;824;824
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;823;824
01.02.2022 15:51;823;824
01.02.2022 15:51;823;824
01.02.2022 15:51;823;824
01.02.2022 15:51;823;824
01.02.2022 15:51;823;824
01.02.2022 15:51;823;824
01.02.2022 15:51;823;824
01.02.2022 15:51;823;824
01.02.2022 15:51;823;825
01.02.2022 15:51;823;825
01.02.2022 15:51;823;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;823;825
01.02.2022 15:51;823;825
01.02.2022 15:51;823;825
01.02.2022 15:51;823;825
01.02.2022 15:51;823;825
01.02.2022 15:51;823;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;824;825
01.02.2022 15:51;825;825
01.02.2022 15:51;825;825
01.02.2022 15:51;825;825
01.02.2022 15:51;825;824
01.02.2022 15:51;825;824
01.02.2022 15:51;825;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:51;824;824
01.02.2022 15:52;823;824
01.02.2022 15:52;823;824
01.02.2022 15:52;823;824
01.02.2022 15:52;823;824
01.02.2022 15:52;823;824
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;826
01.02.2022 15:52;823;826
01.02.2022 15:52;824;825
01.02.2022 15:52;824;825
01.02.2022 15:52;824;825
01.02.2022 15:52;824;825
01.02.2022 15:52;824;825
01.02.2022 15:52;824;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;823;825
01.02.2022 15:52;824;825
01.02.2022 15:52;824;825
01.02.2022 15:52;824;825
01.02.2022 15:52;824;824
01.02.2022 15:52;824;824
01.02.2022 15:52;824;824
01.02.2022 15:52;824;824
01.02.2022 15:52;824;824
01.02.2022 15:52;824;824
01.02.2022 15:52;824;823
01.02.2022 15:52;824;823
01.02.2022 15:52;824;823
01.02.2022 15:52;825;823
01.02.2022 15:52;825;823
01.02.2022 15:52;825;823
01.02.2022 15:52;825;824
01.02.2022 15:52;825;824
01.02.2022 15:52;825;824
01.02.2022 15:52;825;824
01.02.2022 15:52;825;824
01.02.2022 15:52;825;825
01.02.2022 15:52;825;825
01.02.2022 15:52;825;826
01.02.2022 15:52;825;826
01.02.2022 15:52;825;826
